,SiteEnergyUse(kBtu),TotalGHGEmissions,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,age_batiment,PrimaryPropertyType
418,6361236.5,44.35,1.0,6,86483,56.0,35,Small- and Mid-Sized Office
419,1124543.125,22.1,1.0,1,51600,75.0,40,Other
420,2225512.0,57.73,1.0,1,140520,61.0,48,Warehouse
421,4636396.5,58.88,1.0,5,154029,95.0,30,Large Office
422,6963616.5,49.28,1.0,3,161789,66.0,11,Other
423,4765753.5,33.22,1.0,3,63909,68.8,11,Other
424,971155.625,34.0,1.0,2,53472,65.8,68,Warehouse
425,1847401.0,58.67,1.0,1,50417,14.0,36,Warehouse
426,11508035.0,611.19,1.0,1,43728,51.6,116,Other
427,15640994.0,295.48,1.0,3,133298,21.0,55,Other
428,6455828.5,91.1,1.0,2,168619,78.0,51,Retail Store
429,47102428.0,1156.45,0.0,5,251827,55.2,14,Mixed Use Property
430,6486377.5,45.22,1.0,4,175885,91.0,16,Large Office
431,1028376.875,23.86,1.0,2,104786,93.0,47,Warehouse
432,1770027.5,49.9,1.0,1,53040,60.0,16,Other
433,2339814.25,107.83,0.0,1,110689,62.4,43,Other
434,2058955.25,22.12,1.0,1,53620,86.0,68,Small- and Mid-Sized Office
435,3202213.0,65.3,1.0,1,50008,62.0,78,Small- and Mid-Sized Office
436,6657348.5,49.74,1.0,4,291176,98.0,7,Large Office
437,2551022.25,107.16,1.0,1,50832,63.0,59,Warehouse
438,2843033.5,20.29,1.0,1,76354,70.0,45,Other
439,2831565.5,39.5,1.0,1,98480,65.0,60,Warehouse
440,3441643.25,64.0,1.0,2,53002,75.0,112,Mixed Use Property
441,22530168.0,640.71,1.0,3,175918,52.2,8,Mixed Use Property
442,19155416.0,406.02,1.0,3,169785,46.6,96,Other
443,13898181.0,365.79,1.0,11,124721,58.0,45,Large Office
444,5662234.0,39.47,1.0,7,94002,70.0,46,Small- and Mid-Sized Office
445,1252323.875,8.73,1.0,1,93020,60.0,42,Warehouse
446,711118.375,25.74,1.0,1,23000,69.2,70,Other
447,13133225.0,306.5,1.0,1,61053,32.0,14,Other
449,2830674.75,19.73,1.0,5,78920,88.0,112,Small- and Mid-Sized Office
450,6606832.5,134.69,1.0,7,99440,64.0,110,Small- and Mid-Sized Office
451,2853189.5,19.89,1.0,6,73260,82.0,109,Small- and Mid-Sized Office
452,2178074.5,76.8,1.0,4,69817,87.0,116,Small- and Mid-Sized Office
453,2094724.625,26.04,1.0,4,84750,75.8,116,Small- and Mid-Sized Office
454,3570161.75,24.89,1.0,6,75496,59.4,116,Small- and Mid-Sized Office
455,7655751.0,130.31,1.0,4,164380,79.0,116,Large Office
456,4336187.5,99.59,1.0,7,160580,98.0,109,Large Office
457,3212269.0,22.39,1.0,6,73470,83.0,107,Small- and Mid-Sized Office
458,1904480.0,13.28,1.0,3,67755,60.2,110,Other
459,2371575.0,31.58,1.0,3,56700,37.0,106,Mixed Use Property
