,SiteEnergyUse(kBtu),TotalGHGEmissions,NumberofBuildings,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,age_batiment,PrimaryPropertyType
954,6689184.0,202.65,5.0,3,21500,44.0,27,Other
963,2641681.75,20.08,1.0,2,84116,68.0,4,Small- and Mid-Sized Office
964,8690648.0,355.8,1.0,9,104000,8.0,91,Hotel
966,3321035.75,23.15,1.0,3,78374,98.0,35,Other
968,1841154.25,26.11,1.0,2,38784,67.6,9,Mixed Use Property
972,2177075.0,33.37,1.0,2,41790,75.0,47,Other
973,2178690.5,49.98,1.0,5,39960,77.0,116,Small- and Mid-Sized Office
974,90558.70313,0.63,1.0,5,33300,96.0,116,Warehouse
975,2147968.25,120.91,1.0,11,36240,98.0,90,Hotel
976,3042875.5,145.48,1.0,3,39320,38.6,94,Other
978,2735166.0,19.07,1.0,5,41536,64.8,108,Other
980,3321603.0,130.58,1.0,6,35820,94.0,107,Hotel
982,3987215.5,185.23,1.0,2,33462,76.0,94,Other
983,2096835.5,89.29,1.0,3,49744,98.0,51,Other
984,1411305.5,43.45,1.0,2,37816,60.0,93,Worship Facility
985,1354000.625,35.04,0.0,2,23315,75.0,90,Mixed Use Property
986,4265815.0,188.67,1.0,2,20700,59.0,86,Mixed Use Property
989,3343550.0,100.21,1.0,1,41521,63.2,68,Other
990,1906384.875,13.29,1.0,2,25762,100.0,70,Other
992,6118300.5,210.3,1.0,1,33334,71.8,32,Other
993,2686765.0,34.15,1.0,3,43387,60.0,35,Small- and Mid-Sized Office
1000,267135.0938,1.86,1.0,1,39350,79.8,37,Mixed Use Property
1002,3498214.75,134.57,0.0,1,22405,57.6,67,Other
1010,1811506.375,13.16,1.0,1,37500,36.0,31,Warehouse
1011,2615247.75,33.92,1.0,2,39000,25.0,26,Other
1012,5089083.0,147.0,1.0,1,22180,60.8,92,Other
1017,1219744.75,12.48,1.0,1,25920,80.0,47,Other
1018,741287.1875,5.17,1.0,1,25480,57.0,63,Other
1019,2301043.75,19.93,1.0,2,31000,77.0,46,Warehouse
1020,1467060.25,19.82,1.0,1,29740,57.0,55,Small- and Mid-Sized Office
1021,433871.0,13.02,1.0,1,23236,80.6,62,Other
1022,1921801.25,19.04,1.0,3,38075,60.2,7,Small- and Mid-Sized Office
1024,2130673.75,63.06,1.0,2,39170,81.0,46,Small- and Mid-Sized Office
1025,1441665.375,10.05,0.0,1,36070,71.2,39,Other
1027,117438.3984,0.82,1.0,2,20047,96.0,53,Other
1030,557863.6875,3.89,1.0,1,20000,75.0,102,Retail Store
1031,248616.0,1.73,1.0,2,32400,91.0,61,Warehouse
1033,8905287.0,247.85,1.0,1,25159,38.0,54,Other
1035,2332996.5,83.1,1.0,1,27247,56.6,68,Other
1041,243518.2031,1.7,1.0,1,26680,92.0,61,Other
1042,1788148.0,61.71,1.0,1,31521,6.0,63,Warehouse
1043,1257033.5,46.64,1.0,1,24000,51.0,65,Warehouse
1044,1333637.625,65.65,1.0,1,21900,57.2,64,Other
1045,145468.7969,5.46,1.0,1,39900,100.0,63,Retail Store
1046,752093.625,10.75,1.0,1,38005,57.2,55,Warehouse
1047,1096646.25,39.05,1.0,1,35579,72.0,18,Other
1049,238969.7031,1.67,1.0,1,49950,77.0,41,Other
1054,731321.8125,31.6,1.0,2,22612,87.0,69,Worship Facility
1058,3204685.5,67.52,1.0,2,38787,77.4,40,Other
1059,753275.1875,28.58,2.0,2,50368,67.8,28,Other
1060,1577040.875,61.53,1.0,1,30545,12.0,78,Warehouse
1071,971990.3125,29.82,1.0,3,32691,99.0,94,Other
1073,1086678.125,47.59,1.0,2,24227,55.0,53,Worship Facility
1081,651293.3125,18.85,1.0,1,27000,61.0,60,Other
1093,361542.0938,2.52,1.0,2,21183,99.0,59,Small- and Mid-Sized Office
1094,755618.1875,6.18,1.0,3,29392,91.0,55,Small- and Mid-Sized Office
1096,4704936.5,32.8,1.0,5,137738,62.0,31,Large Office
1104,1361427.75,39.5,1.0,3,21118,49.0,28,Other
1106,1326178.125,11.27,1.0,2,20500,48.0,116,Small- and Mid-Sized Office
1109,12148720.0,480.9,1.0,2,34636,3.0,50,Other
1110,605186.3125,15.47,1.0,2,25521,82.0,86,Worship Facility
1111,1705515.25,68.14,1.0,1,23190,79.0,30,Other
1115,770333.0,32.63,1.0,1,20678,98.0,56,Small- and Mid-Sized Office
1116,2595783.5,106.45,1.0,3,28820,43.0,94,Other
1119,1829981.375,68.97,1.0,2,27876,69.0,62,Worship Facility
1123,6782435.0,235.26,1.0,2,48882,51.0,50,Other
1124,439065.9063,3.06,1.0,1,22320,62.0,39,Warehouse
1125,10234721.0,348.22,1.0,1,47105,49.2,40,Other
1126,1471914.25,10.26,1.0,2,40029,69.0,34,Small- and Mid-Sized Office
1127,1269367.5,8.85,1.0,2,28304,67.0,46,Small- and Mid-Sized Office
1128,452612.5,3.16,1.0,1,26400,56.6,46,Other
1129,1778431.75,64.81,1.0,1,27680,47.4,48,Warehouse
1130,1787119.0,45.79,1.0,2,25872,60.0,47,Small- and Mid-Sized Office
1131,2399353.5,81.96,1.0,2,25872,41.0,47,Small- and Mid-Sized Office
1132,222600.0938,1.55,1.0,1,20500,65.0,47,Warehouse
1133,534703.6875,3.73,1.0,2,21436,95.0,58,Small- and Mid-Sized Office
1134,630250.125,18.16,1.0,1,20233,88.2,18,Mixed Use Property
1136,1010967.688,14.49,1.0,4,39926,63.8,10,Small- and Mid-Sized Office
1139,1126157.25,28.09,1.0,3,31417,94.0,31,Small- and Mid-Sized Office
1142,710275.375,4.95,1.0,6,46580,57.0,88,Other
1144,478690.0938,3.34,1.0,2,25920,5.0,100,Retail Store
1146,1011667.5,13.71,1.0,2,25920,93.0,97,Retail Store
1147,2897079.75,36.92,1.0,8,61721,93.0,106,Hotel
1150,1793851.375,46.48,1.0,2,25920,75.0,97,Small- and Mid-Sized Office
1154,2478960.0,149.91,1.0,4,39760,92.0,91,Small- and Mid-Sized Office
1155,2823184.0,94.85,1.0,3,30971,52.6,96,Other
1156,3767135.0,148.55,1.0,3,22667,1.0,70,Small- and Mid-Sized Office
1158,2227638.25,60.88,1.0,2,33840,69.0,89,Warehouse
1159,4193371.0,110.17,5.0,3,41827,36.0,15,Mixed Use Property
1161,1291405.25,9.0,1.0,5,33740,79.0,15,Small- and Mid-Sized Office
1162,1021796.625,42.04,1.0,2,20516,98.0,105,Retail Store
1163,1215156.25,8.47,1.0,3,27480,88.0,110,Retail Store
1165,1818867.875,30.32,1.0,1,46958,95.0,69,Mixed Use Property
1166,1934224.25,66.53,1.0,1,26532,5.0,32,Other
1167,576405.125,9.46,1.0,2,22388,69.6,35,Small- and Mid-Sized Office
1168,3050455.25,73.52,1.0,1,30730,64.2,47,Other
1169,2173143.75,18.34,1.0,2,35600,47.0,30,Small- and Mid-Sized Office
1171,1799664.125,82.34,1.0,3,62000,81.0,67,Worship Facility
1172,776248.6875,5.41,1.0,2,23600,82.0,35,Small- and Mid-Sized Office
1174,2303732.75,16.06,1.0,3,40067,43.0,30,Small- and Mid-Sized Office
1175,1074989.0,7.49,1.0,3,26419,67.0,27,Small- and Mid-Sized Office
1176,1469556.25,23.85,1.0,3,25262,54.0,37,Small- and Mid-Sized Office
1177,4877959.0,38.12,0.0,3,53103,65.2,20,Other
1178,1619177.125,11.29,1.0,3,34106,57.0,36,Small- and Mid-Sized Office
1179,2313978.75,16.13,1.0,3,34545,29.0,36,Small- and Mid-Sized Office
1180,2782066.5,19.39,1.0,3,70296,86.0,36,Small- and Mid-Sized Office
1181,1217509.125,8.49,1.0,4,27838,77.0,114,Small- and Mid-Sized Office
1182,1856230.625,30.02,2.0,2,28368,60.8,45,Other
1189,5155090.5,127.1,1.0,2,92080,60.8,52,Other
1191,1965182.25,49.58,1.0,1,20236,65.6,55,Other
1192,2050600.75,40.22,1.0,2,39815,62.0,65,Small- and Mid-Sized Office
1194,2280352.5,15.9,1.0,4,25557,74.2,46,Other
1195,3076813.25,122.73,1.0,2,26994,62.2,58,Other
1196,1485945.875,10.36,1.0,1,48112,73.0,44,Warehouse
1197,1208029.25,32.86,1.0,1,20909,66.6,7,Other
1198,1772188.5,12.35,1.0,2,42793,27.0,15,Small- and Mid-Sized Office
1201,5912066.0,176.79,1.0,2,45000,77.2,9,Other
1203,1689372.625,36.74,1.0,1,26115,43.0,18,Retail Store
1205,1149140.25,45.33,1.0,1,26033,78.0,67,Worship Facility
1207,1881516.125,61.98,1.0,4,48660,82.0,9,Other
1208,5400049.5,180.38,1.0,2,46539,73.0,46,Other
1210,2233262.0,79.58,1.0,4,29796,47.0,107,Other
1211,983595.875,17.12,1.0,2,26400,36.0,96,Retail Store
1212,1262255.75,8.8,1.0,3,38148,98.0,98,Small- and Mid-Sized Office
1214,456953.0,12.77,1.0,2,28800,80.6,88,Mixed Use Property
1215,1806468.0,12.59,1.0,5,31945,4.0,61,Worship Facility
1220,4480961.0,31.24,1.0,5,85963,43.0,31,Small- and Mid-Sized Office
1226,1169948.875,26.38,1.0,4,34680,92.0,116,Retail Store
1227,5587347.0,247.97,1.0,3,75058,24.0,48,Worship Facility
1229,24105.5,0.17,1.0,3,57720,96.0,113,Small- and Mid-Sized Office
1230,2100982.75,20.76,1.0,1,36504,2.0,101,Retail Store
1231,2998208.25,20.9,1.0,6,35200,8.0,109,Small- and Mid-Sized Office
1232,1538750.625,48.35,1.0,5,35840,83.0,109,Small- and Mid-Sized Office
1233,1333432.125,9.3,1.0,2,25920,60.0,75,Other
1234,2883139.0,73.61,1.0,4,30525,17.0,88,Small- and Mid-Sized Office
1237,8476183.0,101.34,1.0,4,49243,66.6,52,Other
1244,2014475.875,71.23,0.0,3,20411,69.0,104,Other
1252,2946756.25,85.55,1.0,2,30855,2.0,54,Other
1253,2828950.5,107.45,1.0,3,73549,90.0,106,Small- and Mid-Sized Office
1255,10834087.0,462.4,1.0,5,45780,67.0,28,Other
1256,3735308.5,60.04,0.0,3,39115,42.0,53,Other
1257,1107290.625,55.61,1.0,3,38038,73.8,100,Other
1258,2465983.5,123.41,1.0,3,37796,55.0,54,Worship Facility
1262,5355753.0,37.34,1.0,1,27744,69.4,23,Small- and Mid-Sized Office
1263,161311.0938,1.12,1.0,1,36444,80.0,56,Warehouse
1264,966677.125,31.61,1.0,1,27553,63.0,66,Warehouse
1265,1253745.5,34.87,3.0,1,57310,60.4,65,Other
1266,989079.5,16.57,1.0,2,25920,79.6,96,Mixed Use Property
1267,2106073.5,73.0,1.0,3,40686,60.4,97,Other
1268,2553763.5,82.72,1.0,2,45271,57.0,52,Retail Store
1269,1372213.375,35.77,1.0,3,28380,62.0,96,Small- and Mid-Sized Office
1270,28053172.0,487.53,1.0,5,508160,77.0,7,Large Office
1271,966907.375,32.09,1.0,3,26176,95.0,90,Small- and Mid-Sized Office
1272,7442314.5,73.48,1.0,1,37740,1.0,90,Small- and Mid-Sized Office
1273,5277482.5,184.09,1.0,1,26000,65.2,55,Other
1275,739210.5,20.64,1.0,3,23241,66.0,7,Worship Facility
1276,17673018.0,255.83,1.0,1,155795,57.0,54,Other
1277,1761137.5,24.62,1.0,1,21018,63.2,14,Other
1278,5903015.0,192.12,1.0,1,30533,62.4,18,Other
1279,17686444.0,523.95,1.0,2,33971,40.6,55,Other
1281,2003807.75,13.97,1.0,4,38038,84.0,17,Small- and Mid-Sized Office
1282,2524228.25,77.8,1.0,4,64596,92.0,9,Small- and Mid-Sized Office
1283,9190442.0,234.03,1.0,3,41466,1.0,88,Small- and Mid-Sized Office
1285,7429423.0,86.51,1.0,6,130710,92.0,3,Large Office
1286,1912760.75,13.33,1.0,4,35780,77.0,90,Small- and Mid-Sized Office
1288,564754.1875,3.94,1.0,4,25132,41.0,52,Mixed Use Property
1293,1257774.625,8.77,1.0,2,25920,75.0,100,Other
1294,2071670.25,77.48,1.0,4,47686,72.0,97,Small- and Mid-Sized Office
1295,44293.5,0.31,1.0,3,49760,96.0,116,Other
1297,5437110.5,98.28,1.0,2,49280,80.8,116,Mixed Use Property
1300,3778355.0,26.34,1.0,4,45500,59.2,74,Other
1301,6901554.0,218.79,1.0,2,25380,57.4,104,Other
1302,2827772.75,44.89,1.0,6,40715,79.0,101,Small- and Mid-Sized Office
1306,1717130.875,11.97,1.0,4,82065,91.0,26,Mixed Use Property
1308,1862176.875,12.98,1.0,4,36160,47.0,106,Small- and Mid-Sized Office
1309,5136604.5,143.34,1.0,1,34617,60.8,98,Mixed Use Property
1314,1634178.25,14.13,1.0,5,66900,100.0,107,Small- and Mid-Sized Office
1315,2160420.0,75.99,1.0,3,29340,64.4,106,Mixed Use Property
1317,287763.5,2.01,0.0,2,22710,79.8,86,Other
1320,3205182.5,22.46,1.0,3,50499,13.0,16,Small- and Mid-Sized Office
1321,3600571.25,41.22,1.0,5,54465,68.0,52,Small- and Mid-Sized Office
1322,4167253.75,182.81,1.0,2,45960,56.0,86,Other
1326,436604.0938,3.04,1.0,2,21128,97.0,57,Small- and Mid-Sized Office
1328,9155568.0,220.26,1.0,4,274442,29.8,8,Mixed Use Property
1329,1539066.375,10.73,1.0,3,51552,71.2,3,Small- and Mid-Sized Office
1330,2804534.0,75.25,1.0,4,38520,37.0,57,Hotel
1331,867184.375,30.22,1.0,3,29186,95.0,55,Hotel
1333,581289.0,4.05,1.0,1,27338,56.0,56,Worship Facility
1335,2045592.0,77.76,1.0,2,85750,69.0,17,Other
1337,12015936.0,422.45,1.0,2,34416,65.6,54,Other
1338,2590622.0,115.43,1.0,3,45864,94.0,86,Small- and Mid-Sized Office
1340,3485865.5,104.91,1.0,2,49252,23.0,17,Other
1351,1426279.5,35.96,1.0,3,33176,89.0,29,Small- and Mid-Sized Office
1352,1878742.875,55.95,1.0,3,25194,52.0,23,Retail Store
1359,326001.1875,2.27,1.0,99,21948,80.0,39,Worship Facility
1360,5876439.0,167.98,1.0,3,31191,77.2,89,Other
1362,3040978.0,111.73,1.0,1,37377,53.2,69,Other
1364,856088.625,5.97,1.0,1,29380,33.0,39,Warehouse
1373,331675.0,7.07,1.0,2,22688,87.0,94,Worship Facility
1391,1467029.75,54.44,1.0,2,22364,52.0,54,Other
1392,1903455.875,13.27,1.0,2,41262,84.0,34,Small- and Mid-Sized Office
1405,7408342.0,92.45,1.0,2,43183,59.8,63,Small- and Mid-Sized Office
1408,2077039.375,86.81,1.0,3,45680,79.0,108,Worship Facility
1418,37797084.0,913.07,1.0,14,724148,8.0,10,Other
1422,531737.1875,3.71,1.0,1,23562,96.0,59,Worship Facility
1425,910718.6875,6.35,1.0,4,28844,69.6,17,Small- and Mid-Sized Office
1429,675772.875,27.97,1.0,1,21101,67.8,27,Warehouse
1430,1351267.875,9.42,1.0,2,45594,75.0,102,Other
1431,2241280.5,15.62,1.0,1,26660,62.0,66,Other
1432,870625.8125,18.63,1.0,1,28126,44.0,41,Warehouse
1433,378714.4063,2.64,1.0,1,35000,53.0,52,Warehouse
1434,1208407.625,26.55,1.0,1,26150,6.0,54,Warehouse
1435,1088556.25,7.59,1.0,2,24000,73.0,49,Small- and Mid-Sized Office
1436,2478045.5,73.26,1.0,5,43594,38.0,48,Other
1442,794724.625,18.54,1.0,1,28080,72.6,104,Other
1456,5655578.0,203.73,1.0,2,51298,85.0,62,Other
1458,265774.9063,1.85,1.0,1,22047,100.0,54,Worship Facility
1462,3363535.5,103.28,1.0,1,31600,3.0,37,Warehouse
1463,876425.0,23.9,1.0,1,35289,63.0,9,Warehouse
1464,1750419.0,80.09,1.0,1,28920,50.0,35,Warehouse
1465,736428.625,32.77,1.0,1,22176,60.0,38,Warehouse
1466,362874.0,9.08,1.0,1,31300,89.0,38,Warehouse
1467,700627.625,4.88,1.0,1,22000,14.0,37,Warehouse
1468,3568419.5,24.88,1.0,3,39927,38.0,42,Small- and Mid-Sized Office
1469,4294550.0,135.81,1.0,1,30610,45.6,37,Other
1470,1002995.0,6.99,1.0,2,26930,64.0,36,Other
1471,2890379.0,49.62,1.0,2,38745,76.0,48,Other
1472,855665.125,5.97,1.0,2,20296,51.8,57,Other
1473,1261634.5,27.41,1.0,2,22135,75.4,71,Mixed Use Property
1474,1645605.125,53.73,1.0,3,38378,86.0,49,Other
1475,1275231.75,49.73,1.0,2,33576,64.0,36,Warehouse
1476,10642754.0,225.67,1.0,1,33005,21.0,41,Other
1481,729397.1875,5.08,1.0,1,20971,55.2,35,Other
1486,873577.3125,15.11,1.0,3,23910,69.0,89,Small- and Mid-Sized Office
1488,431390.4063,17.38,1.0,2,21765,80.0,106,Worship Facility
1494,114648520.0,3243.48,1.0,2,2200000,79.2,77,Other
1496,1751483.875,64.88,1.0,2,26560,1.0,115,Worship Facility
1497,116486.6016,0.81,1.0,2,20140,49.0,59,Warehouse
1508,6917280.0,215.56,1.0,2,38845,82.0,24,Retail Store
1509,7619445.0,173.75,1.0,1,26092,40.0,63,Other
1512,1213869.75,55.3,1.0,1,25500,98.0,49,Small- and Mid-Sized Office
1513,1242311.5,25.09,1.0,1,41895,81.8,55,Warehouse
1514,2497942.75,46.9,1.0,2,56193,84.2,58,Retail Store
1518,1379932.5,60.34,1.0,3,35448,97.0,94,Other
1519,9336239.0,208.53,1.0,1,29214,8.0,50,Other
1522,14029480.0,384.85,1.0,1,89103,34.0,16,Other
1523,1331122.125,45.38,1.0,1,32000,63.6,55,Other
1524,935580.3125,38.86,1.0,2,31140,67.8,106,Mixed Use Property
1525,3035962.25,78.22,1.0,3,41478,3.0,41,Warehouse
1526,752104.0,5.24,1.0,1,39840,2.0,36,Warehouse
1534,1533245.75,38.52,1.0,1,30576,65.2,12,Other
1537,306911.0938,6.61,1.0,2,21528,86.4,92,Other
1538,1094940.75,13.14,1.0,2,30000,76.4,88,Other
1557,5274642.0,36.77,1.0,2,30087,69.4,74,Other
1558,786253.6875,29.24,1.0,1,40445,92.0,41,Worship Facility
1559,1137967.5,13.29,1.0,1,23500,53.0,20,Retail Store
1560,1404253.75,31.79,1.0,1,22420,82.0,49,Retail Store
1563,8518313.0,237.54,1.0,1,25842,35.0,55,Other
1565,1208035.375,8.42,1.0,3,26389,79.6,24,Small- and Mid-Sized Office
1566,858780.625,14.9,1.0,3,25859,88.0,34,Small- and Mid-Sized Office
1567,1730600.625,34.26,1.0,1,25600,1.0,42,Warehouse
1568,222255.9063,1.55,1.0,1,23169,89.0,51,Other
1569,1294615.25,9.03,1.0,4,41784,89.0,8,Small- and Mid-Sized Office
1570,1388345.125,37.49,1.0,1,56884,71.0,56,Warehouse
1573,2017967.75,46.44,1.0,1,32810,66.0,27,Retail Store
1576,97690.39844,0.68,1.0,3,30989,96.0,36,Other
1577,57133.19922,0.4,1.0,3,39952,96.0,101,Other
1581,657385.8125,4.58,1.0,2,20022,80.0,55,Small- and Mid-Sized Office
1582,520011.8125,14.81,1.0,2,36498,89.0,56,Other
1583,469499.8125,11.08,1.0,1,35946,80.6,48,Other
1584,845044.125,5.94,1.0,4,30152,96.0,9,Small- and Mid-Sized Office
1585,727385.8125,5.07,1.0,4,22365,71.0,37,Small- and Mid-Sized Office
1586,904059.875,6.3,1.0,4,30172,82.0,22,Small- and Mid-Sized Office
1590,241478.5938,1.68,1.0,4,42500,100.0,89,Warehouse
1591,1121537.75,7.82,1.0,4,23032,80.0,115,Small- and Mid-Sized Office
1593,7240274.0,303.81,1.0,3,45750,58.0,116,Other
1595,1686405.0,34.52,1.0,2,23500,26.0,48,Small- and Mid-Sized Office
1596,579888.3125,16.67,1.0,1,22282,93.0,50,Small- and Mid-Sized Office
1597,502898.6875,17.39,1.0,2,24000,80.6,114,Other
1599,1995131.75,60.67,1.0,3,27085,50.2,107,Mixed Use Property
1606,8086943.5,309.14,0.0,2,29258,53.4,20,Other
1607,2235765.5,44.26,1.0,2,37500,58.0,85,Small- and Mid-Sized Office
1609,1164364.75,33.28,1.0,3,23983,61.0,86,Other
1610,809870.8125,30.49,1.0,1,24100,22.0,36,Other
1611,100841.7031,0.7,1.0,1,23772,100.0,45,Worship Facility
1613,3846501.25,128.66,3.0,2,31343,5.0,12,Other
1619,2450442.75,17.08,1.0,3,55912,53.8,20,Mixed Use Property
1620,1735995.75,67.45,1.0,2,20294,65.8,59,Other
1621,1286817.375,8.97,1.0,4,40571,64.0,33,Small- and Mid-Sized Office
1622,1755788.5,12.24,1.0,4,41707,78.0,33,Small- and Mid-Sized Office
1623,2189735.0,42.87,1.0,2,57644,72.6,56,Mixed Use Property
1624,1700057.375,28.28,1.0,2,39497,9.0,61,Warehouse
1634,3548858.25,121.9,1.0,1,33087,47.2,84,Other
1637,1211349.25,8.44,1.0,2,27574,73.0,34,Small- and Mid-Sized Office
1641,335245.0,2.34,1.0,1,24982,99.0,51,Retail Store
1643,3936421.5,82.57,1.0,5,43661,4.0,18,Other
1648,2472350.25,17.24,1.0,3,76105,91.0,29,Small- and Mid-Sized Office
1653,1998725.25,44.28,1.0,2,32009,60.6,64,Mixed Use Property
1656,1900006.25,13.25,1.0,1,41615,69.0,50,Retail Store
1657,1459199.75,33.42,1.0,3,28841,55.0,28,Other
1658,123767.2031,0.86,2.0,2,33344,96.0,39,Other
1659,2436063.0,80.19,2.0,1,30498,69.8,11,Other
1664,959352.0,42.96,1.0,2,42975,92.0,92,Other
1666,1612105.75,52.41,1.0,1,23260,52.0,53,Other
1668,2619088.5,55.85,1.0,2,30659,88.0,28,Small- and Mid-Sized Office
1669,1012024.313,32.58,1.0,2,27144,66.0,96,Other
1670,3475804.25,184.6,5.0,1,23166,66.2,46,Other
1671,1633105.375,11.39,1.0,2,34759,81.0,37,Other
1672,98960776.0,3278.11,8.0,1,415632,85.0,50,Other
1675,1614026.25,53.21,1.0,2,44719,52.0,51,Worship Facility
1678,5833800.0,129.89,1.0,1,21603,16.0,51,Other
1690,102673696.0,3238.24,1.0,3,591981,60.0,52,Other
1691,436252.5,3.04,1.0,1,42900,53.0,37,Other
1692,3091387.5,96.15,5.0,1,57952,39.4,11,Other
1693,3094090.0,122.71,1.0,1,26232,62.2,45,Other
1698,313528.0938,2.19,1.0,2,25840,92.0,60,Warehouse
1699,1268459.0,43.63,1.0,1,45145,57.6,28,Small- and Mid-Sized Office
1701,1981115.25,19.12,1.0,5,70332,89.0,15,Small- and Mid-Sized Office
1726,12250422.0,326.74,1.0,1,45522,22.0,22,Other
1727,326778.6875,2.28,1.0,2,20088,84.4,37,Retail Store
1732,7837692.5,179.55,5.0,2,138907,29.8,27,Other
1733,2826828.0,23.6,1.0,2,40657,57.0,19,Small- and Mid-Sized Office
1734,269016.6875,2.25,1.0,1,20200,79.8,116,Warehouse
1745,3652708.75,184.0,1.0,1,44086,29.0,112,Other
1746,1403820.0,9.79,1.0,7,54372,94.0,46,Small- and Mid-Sized Office
1753,14524386.0,712.39,1.0,1,47699,67.4,65,Other
1754,25311526.0,1110.07,1.0,0,274568,52.0,71,Other
1755,1245923.75,62.23,1.0,3,21282,69.0,60,Small- and Mid-Sized Office
1757,3787648.25,26.41,1.0,2,41022,59.2,95,Other
1760,3612526.75,38.39,1.0,2,28109,64.6,50,Other
1762,409578.4063,2.86,1.0,3,33580,100.0,31,Small- and Mid-Sized Office
1766,113130.0,2.69,1.0,1,21936,100.0,39,Warehouse
1767,1045838.5,44.26,1.0,1,30160,67.8,47,Other
1773,9546165.0,294.65,1.0,11,111137,29.8,107,Mixed Use Property
1777,1509292.0,37.65,1.0,1,40189,65.2,19,Other
1778,3046543.0,21.24,1.0,2,66484,69.0,28,Small- and Mid-Sized Office
1779,1356874.75,62.05,1.0,3,25151,85.0,57,Small- and Mid-Sized Office
1780,2640980.25,112.34,1.0,6,35770,56.0,88,Hotel
1782,3239754.0,101.31,1.0,9,48006,85.0,88,Hotel
1783,5144392.0,146.93,1.0,2,29631,60.8,56,Mixed Use Property
1784,1625308.625,46.45,1.0,2,23472,72.2,27,Small- and Mid-Sized Office
1785,2796425.0,110.66,1.0,2,21315,34.0,43,Small- and Mid-Sized Office
1806,2190460.0,24.31,1.0,4,57110,69.0,32,Small- and Mid-Sized Office
1811,1748629.875,22.26,1.0,3,34030,50.0,37,Small- and Mid-Sized Office
1817,9313513.0,334.15,1.0,2,20398,38.2,114,Other
1818,1642471.5,38.57,1.0,1,41308,7.0,64,Other
1839,769771.3125,5.37,1.0,3,43878,41.4,103,Mixed Use Property
1840,873711.125,15.7,1.0,3,34976,74.8,104,Other
1861,985401.8125,33.8,1.0,1,38255,12.0,59,Warehouse
1862,34012980.0,565.55,23.0,1,260241,48.8,61,Other
1870,2282551.25,59.24,1.0,3,48924,71.0,27,Small- and Mid-Sized Office
1875,1602084.375,11.17,1.0,4,50333,88.0,57,Small- and Mid-Sized Office
1876,2520483.25,17.57,1.0,4,57432,53.8,30,Small- and Mid-Sized Office
1877,666740.3125,4.65,1.0,3,25912,67.2,47,Small- and Mid-Sized Office
1878,1994967.75,13.91,1.0,3,57132,73.0,16,Small- and Mid-Sized Office
1884,968026.3125,26.73,1.0,2,24224,52.0,59,Worship Facility
1885,400770.9063,13.12,1.0,1,23706,78.0,53,Worship Facility
1887,1964681.25,13.7,1.0,1,31900,68.4,53,Warehouse
1889,3835202.0,178.86,1.0,1,49066,57.6,99,Other
1890,1686262.25,61.3,1.0,3,30740,55.8,64,Worship Facility
1893,2842819.5,55.86,1.0,1,67450,97.0,57,Other
1897,882896.5,6.16,1.0,1,46970,69.6,68,Warehouse
1898,1035554.688,16.04,1.0,1,47554,78.4,85,Warehouse
1899,1234095.5,60.57,1.0,2,43016,100.0,37,Small- and Mid-Sized Office
1900,1055033.0,22.29,1.0,1,24196,74.8,85,Mixed Use Property
1901,638507.125,24.76,1.0,2,20671,98.0,76,Small- and Mid-Sized Office
1903,499828.5938,14.36,1.0,1,21600,57.0,89,Warehouse
1907,866126.375,6.04,1.0,1,35844,14.0,39,Worship Facility
1908,1639136.25,18.87,1.0,3,31774,85.0,100,Small- and Mid-Sized Office
1922,709990.8125,4.95,1.0,1,26094,19.0,63,Warehouse
1923,1084553.75,7.56,1.0,2,23687,68.0,33,Small- and Mid-Sized Office
1924,1435562.75,10.01,1.0,2,24221,20.0,33,Small- and Mid-Sized Office
1925,5381105.0,37.51,1.0,2,71919,37.0,116,Mixed Use Property
1926,3999505.25,128.41,1.0,2,32027,54.0,116,Small- and Mid-Sized Office
1927,2805826.0,19.56,1.0,3,32160,61.4,110,Small- and Mid-Sized Office
1928,3540225.75,109.59,1.0,3,47836,71.8,24,Other
1929,2018385.75,50.07,1.0,3,34425,84.0,102,Small- and Mid-Sized Office
1934,1961581.5,13.67,1.0,3,40304,5.0,32,Other
1939,1280263.75,42.45,1.0,1,29619,50.0,26,Other
1941,1431784.0,54.24,1.0,2,21592,47.0,94,Other
1943,805643.5,19.51,1.0,2,23923,69.0,85,Other
1944,1748444.25,37.08,1.0,3,25200,47.0,109,Small- and Mid-Sized Office
1945,284857.3125,8.59,1.0,1,45068,100.0,69,Small- and Mid-Sized Office
1946,1328461.25,9.26,1.0,2,28296,80.0,53,Small- and Mid-Sized Office
1949,1965075.625,22.48,1.0,3,31357,55.0,17,Small- and Mid-Sized Office
1950,1157976.5,8.07,1.0,1,160000,94.0,48,Other
1951,4590246.5,174.62,1.0,1,53550,11.0,56,Warehouse
1952,1628540.0,67.05,1.0,1,38412,62.0,92,Warehouse
1953,545426.375,3.8,1.0,1,25881,69.4,86,Other
1960,655422.375,19.61,1.0,1,24291,98.0,63,Small- and Mid-Sized Office
1961,1269847.75,8.85,1.0,1,36544,5.0,50,Warehouse
1963,1324092.125,51.1,1.0,1,20796,59.0,67,Warehouse
1964,659761.875,17.04,1.0,1,21349,70.0,69,Other
1965,416885.5938,2.91,1.0,1,38630,33.0,80,Warehouse
1966,1832031.5,83.3,1.0,1,20724,71.0,66,Warehouse
