product_name 
origins 
origins_tags
labels
countries 
ingredients_text
traces
additives
nutrition_grade_fr
main_category
energy_100g
proteins_100g
casein_100g
carbohydrates_100g
sugars_100g  
glucose_100g 
fructose_100g
lactose_100g
 sucrose_100g
fat_100g 
saturated-fat_100g
omega-3-fat_100g
cholesterol_100g 
fiber_100g
alcohol_100g 
vitamin-a_100g
vitamin-d_100g
vitamin-e_100g
vitamin-k_100g
vitamin-c_100g
vitamin-b1_100g
vitamin-b2_100g
vitamin-pp_100g
vitamin-b6_100g
vitamin-b9_100g
vitamin-b12_100g
potassium_100g
chloride_100g
calcium_100g
phosphorus_100g
iron_100g
magnesium_100g
zinc_100g
copper_100g
manganese_100g
fluoride_100g
selenium_100g
chromium_100g
molybdenum_100g
iodine_100g
caffeine_100g
taurine_100g
ph_100g
fruits-vegetables-nuts_100g
